
begin to compute gravity matrix
computing 7336-th point: lon=100.166705 lat=24.520438
computing 4956-th point: lon=99.300002 lat=24.985007
computing 2505-th point: lon=98.400001 lat=24.785873
computing 146-th point: lon=97.533305 lat=24.553592
computing 7337-th point: lon=100.166705 lat=24.487189
computing 4957-th point: lon=99.300002 lat=24.951853
computing 147-th point: lon=97.533305 lat=24.520438
computing 2506-th point: lon=98.400001 lat=24.752719
computing 7338-th point: lon=100.166705 lat=24.454035
computing 4958-th point: lon=99.300002 lat=24.918693
computing 148-th point: lon=97.533305 lat=24.487189
computing 2507-th point: lon=98.400001 lat=24.719565
computing 4959-th point: lon=99.300002 lat=24.885437
computing 7339-th point: lon=100.166705 lat=24.420881
computing 149-th point: lon=97.533305 lat=24.454035
computing 2508-th point: lon=98.400001 lat=24.686309
computing 4960-th point: lon=99.300002 lat=24.852283
computing 7340-th point: lon=100.166705 lat=24.387625
computing 150-th point: lon=97.533305 lat=24.420881
computing 2509-th point: lon=98.400001 lat=24.653155
computing 4961-th point: lon=99.300002 lat=24.819129
computing 7341-th point: lon=100.166705 lat=24.354478
computing 151-th point: lon=97.533305 lat=24.387625
computing 2510-th point: lon=98.400001 lat=24.620002
computing 4962-th point: lon=99.300002 lat=24.785873
computing 152-th point: lon=97.533305 lat=24.354478
computing 7342-th point: lon=100.166705 lat=24.321324
computing 2511-th point: lon=98.400001 lat=24.586746
computing 4963-th point: lon=99.300002 lat=24.752719
computing 153-th point: lon=97.533305 lat=24.321324
computing 7343-th point: lon=100.166705 lat=24.288068
computing 2512-th point: lon=98.400001 lat=24.553592
computing 154-th point: lon=97.533305 lat=24.288068
computing 4964-th point: lon=99.300002 lat=24.719565
computing 7344-th point: lon=100.166705 lat=24.254921
computing 155-th point: lon=97.533305 lat=24.254921
computing 2513-th point: lon=98.400001 lat=24.520438
computing 4965-th point: lon=99.300002 lat=24.686309
computing 7345-th point: lon=100.166705 lat=24.221768
computing 156-th point: lon=97.533305 lat=24.221768
computing 4966-th point: lon=99.300002 lat=24.653155
computing 2514-th point: lon=98.400001 lat=24.487189
computing 7346-th point: lon=100.166705 lat=24.188518
computing 157-th point: lon=97.533305 lat=24.188518
computing 4967-th point: lon=99.300002 lat=24.620002
computing 2515-th point: lon=98.400001 lat=24.454035
computing 7347-th point: lon=100.166705 lat=24.155364
computing 158-th point: lon=97.533305 lat=24.155364
computing 4968-th point: lon=99.300002 lat=24.586746
computing 2516-th point: lon=98.400001 lat=24.420881
computing 7348-th point: lon=100.166705 lat=24.122211
computing 159-th point: lon=97.533305 lat=24.122211
computing 4969-th point: lon=99.300002 lat=24.553592
computing 2517-th point: lon=98.400001 lat=24.387625
computing 7349-th point: lon=100.166705 lat=24.088961
computing 160-th point: lon=97.533305 lat=24.088961
computing 4970-th point: lon=99.300002 lat=24.520438
computing 2518-th point: lon=98.400001 lat=24.354478
computing 161-th point: lon=97.533305 lat=24.055814
computing 7350-th point: lon=100.166705 lat=24.055814
computing 4971-th point: lon=99.300002 lat=24.487189
computing 162-th point: lon=97.533305 lat=24.022661
computing 2519-th point: lon=98.400001 lat=24.321324
computing 7351-th point: lon=100.166705 lat=24.022661
computing 4972-th point: lon=99.300002 lat=24.454035
computing 2520-th point: lon=98.400001 lat=24.288068
computing 163-th point: lon=97.533305 lat=23.989411
computing 7352-th point: lon=100.166705 lat=23.989411
computing 4973-th point: lon=99.300002 lat=24.420881
computing 164-th point: lon=97.533305 lat=23.956264
computing 2521-th point: lon=98.400001 lat=24.254921
computing 7353-th point: lon=100.166705 lat=23.956264
computing 4974-th point: lon=99.300002 lat=24.387625
computing 165-th point: lon=97.533305 lat=23.923111
computing 2522-th point: lon=98.400001 lat=24.221768
computing 7354-th point: lon=100.166705 lat=23.923111
computing 166-th point: lon=97.533305 lat=23.889861
computing 4975-th point: lon=99.300002 lat=24.354478
computing 2523-th point: lon=98.400001 lat=24.188518
computing 7355-th point: lon=100.166705 lat=23.889861
computing 167-th point: lon=97.533305 lat=23.856714
computing 4976-th point: lon=99.300002 lat=24.321324
computing 2524-th point: lon=98.400001 lat=24.155364
computing 7356-th point: lon=100.166705 lat=23.856714
computing 168-th point: lon=97.533305 lat=23.823561
computing 4977-th point: lon=99.300002 lat=24.288068
computing 2525-th point: lon=98.400001 lat=24.122211
computing 7357-th point: lon=100.166705 lat=23.823561
computing 169-th point: lon=97.533305 lat=23.790311
computing 4978-th point: lon=99.300002 lat=24.254921
computing 7358-th point: lon=100.166705 lat=23.790311
computing 170-th point: lon=97.533305 lat=23.757164
computing 2526-th point: lon=98.400001 lat=24.088961
computing 4979-th point: lon=99.300002 lat=24.221768
computing 171-th point: lon=97.533305 lat=23.724018
computing 7359-th point: lon=100.166705 lat=23.757164
